,id,x,y
6,8690,-118.347352,33.801738
10,5778,-118.501704,34.020344
12,8626,-118.500524,34.025892
16,5504,-118.551902,34.365741
20,3483,-118.143297,34.065706
21,1734,-118.135187,34.088141
24,6470,-118.23275,33.816
26,6452,-118.226591,34.066423
30,1850,-118.297535,34.064682
36,2012,-118.263556,34.092176
38,1856,-118.181925,34.082261
40,1970,-118.437545,33.99827
42,1816,-118.145649,33.763767
46,2014,-118.13797,34.138439
48,1852,-117.90991,34.021534
50,2756,-118.17295,33.768719
52,2701,-118.56294,34.07508
54,2751,-118.448915,34.06282
56,1848,-118.060746,34.141759
58,2516,-118.063419,34.161382
60,6772,-118.145351,34.19604
64,2362,-118.222371,34.076629
66,6454,-118.202468,34.129322
70,6286,-118.10291,34.160216
72,2649,-118.579069,34.294777
73,2488,-118.227883,34.238519
75,6458,-118.177841,34.171293
77,6472,-118.21065,34.111188
81,2440,-118.600773,34.390163
83,6456,-118.519632,34.450859
89,6908,-118.175737,34.123252
91,6450,-118.367503,34.081702
93,6264,-118.1035,34.141192
95,6448,-117.888472,34.093006
97,2464,-118.220708,33.97171
99,6770,-117.746679,34.104089
102,6306,-118.568238,34.155279
104,6818,-118.16372,34.214191
108,2691,-118.406339,34.020148
110,1846,-118.348052,34.094693
114,1858,-118.406279,33.962801
116,6890,-118.068618,34.010421
118,547,-118.021296,34.065666
120,6848,-118.175286,33.792412
122,567,-118.06222,34.126789
126,7016,-118.402226,34.173877
132,3586,-118.143782,33.935979
136,1688,-118.028741,34.089243
140,1680,-117.970322,34.096551
142,1678,-118.143168,34.148522
144,1656,-117.981372,34.017088
146,1686,-118.179443,34.168053
148,1694,-118.129276,34.155172
150,1648,-117.743445,34.104334
152,10192,-118.354673,33.795543
154,6232,-118.229582,33.943101
158,581,-118.372611,33.907902
162,6250,-118.412091,33.88721
164,573,-118.330409,33.867939
170,6220,-118.301509,34.030904
174,5574,-118.195898,33.813402
176,6224,-118.234469,33.973001
178,6238,-118.250909,33.965817
180,6230,-118.242999,33.95311
182,6210,-118.264068,33.80597
184,1436,-118.307771,33.735391
188,6160,-118.257003,34.056232
190,6214,-117.959179,33.859305
192,6218,-118.247844,33.976488
195,1501,-118.328735,33.846801
198,593,-118.134408,34.18452
200,1266,-118.387819,33.86322
202,6204,-118.240759,33.94587
204,6202,-118.461625,34.038451
206,2287,-118.223757,34.085236
210,5546,-118.219798,33.937549
212,6206,-118.234687,33.967212
218,583,-118.226068,34.089558
220,6196,-118.415405,34.048335
226,1956,-118.313831,33.847103
232,575,-118.298955,33.73881
238,1946,-118.305554,33.755316
242,6246,-118.2969,34.025452
250,6236,-118.254244,33.935456
252,6234,-118.233431,33.967605
254,1930,-118.299915,33.722519
260,495,-118.244492,33.788154
262,577,-118.267881,33.775313
264,2279,-118.276473,33.786567
266,515,-118.260078,33.771583
270,6216,-118.300264,34.02279
272,6252,-118.249884,33.971667
274,2766,-117.726098,34.125368
276,6138,-118.391534,33.784696
280,5222,-118.13673,34.100237
284,1960,-118.395863,34.032463
296,2325,-117.810337,34.028623
298,2167,-117.812525,34.029192
302,2612,-117.830263,34.001572
303,6736,-117.934018,34.152012
306,2758,-117.830102,34.001536
308,4399,-118.099329,34.17797
312,185,-118.268681,34.073635
314,7630,-118.272384,34.110851
316,1650,-118.052747,34.066623
318,7452,-118.348419,33.795894
323,8786,-118.135779,34.149163
329,7232,-118.415956,33.920705
333,6552,-118.556995,34.297357
335,7548,-118.380852,33.810393
338,5810,-118.518221,34.038153
345,3535,-118.148325,34.13773
349,5804,-118.451317,33.987108
355,4571,-118.395597,33.865359
357,5844,-118.480574,34.0172
361,7034,-118.447474,34.009438
363,407,-118.339362,33.842609
365,6164,-118.423253,34.153838
367,3779,-118.341087,33.872214
371,4109,-118.22038,34.204542
381,8684,-118.445647,34.052201
383,2263,-118.107809,34.127524
391,2448,-118.116041,34.071142
393,3529,-118.114707,34.070549
395,3505,-118.115766,34.07032
397,3525,-118.115696,34.070679
399,3515,-118.148634,34.066673
401,3617,-118.133589,34.059409
403,3569,-118.114332,34.045246
405,3527,-118.134086,34.09842
407,3565,-118.132666,34.134362
413,3513,-118.123801,34.049091
415,3487,-118.11611,34.054372
417,3581,-118.134623,34.053542
419,3577,-117.809554,34.017148
421,4727,-118.149837,34.095756
423,4725,-118.158621,34.068873
425,4686,-118.12843,34.044688
429,4734,-118.125702,34.045756
431,4689,-118.141515,34.047986
433,4662,-118.109702,34.066422
437,4711,-118.153217,34.095573
439,4692,-118.153397,34.060523
441,4674,-118.147332,34.046103
443,5184,-118.141515,34.06773
447,5030,-118.132773,34.095592
449,5228,-118.108437,34.049858
451,5218,-118.143541,34.074866
453,2735,-118.044144,34.037224
455,2504,-118.033491,34.064914
457,2693,-118.011357,34.054506
459,2452,-118.002345,34.077294
461,2713,-118.031259,34.071633
463,2496,-118.071696,34.085007
469,2626,-118.456507,34.051019
471,2703,-118.354068,34.067663
473,1966,-118.087342,33.770877
477,1938,-118.086496,33.772564
479,1922,-118.085175,33.773238
483,1914,-118.081051,33.773085
485,2352,-118.196411,33.770151
487,2360,-118.083652,33.768011
489,2372,-118.091998,33.777669
491,2366,-118.083483,33.771323
493,2376,-118.083032,33.772936
495,2336,-118.084689,33.769814
497,2378,-118.090923,33.769515
499,2380,-118.092711,33.770419
503,2018,-118.091725,33.762364
505,2169,-118.090093,33.770245
507,2008,-118.090902,33.765264
509,2023,-118.086954,33.765678
511,2153,-118.089257,33.767108
519,6904,-118.228181,33.956163
523,6892,-118.209439,33.939359
525,6894,-118.224205,33.946465
529,6882,-118.217483,33.957984
533,6874,-118.210422,33.951511
535,6866,-118.16727,33.920193
539,6880,-118.168677,33.913329
541,6868,-118.194014,33.946172
543,6878,-118.213453,33.959331
547,2163,-118.424783,34.021787
551,2340,-118.425539,34.022499
555,2412,-118.427449,34.025144
557,2404,-118.426716,34.02421
559,2157,-118.430019,34.025083
561,2165,-118.430332,34.025367
563,1748,-118.428709,34.023915
569,2416,-118.426511,34.020502
571,1760,-118.427621,34.025376
573,2315,-118.426784,34.020718
575,2171,-118.430001,34.024557
577,2297,-118.428173,34.022544
579,2414,-118.243685,34.052234
581,2408,-118.243685,34.052234
583,2173,-118.243667,34.052206
585,2327,-118.429855,34.024709
587,2624,-118.243685,34.052234
590,2616,-118.428135,34.023177
594,2628,-118.427022,34.024008
596,2620,-118.426787,34.02362
598,2618,-118.429112,34.02415
600,2614,-118.426355,34.0239
602,2622,-118.427742,34.024941
604,2610,-118.427717,34.025326
606,6906,-118.17163,33.943987
610,3075,-118.153342,34.51352
612,9506,-118.374171,33.784608
614,8372,-118.468274,34.015879
616,4549,-118.059579,34.159789
618,1654,-118.043981,34.041974
622,10688,-117.743862,34.10362
624,3477,-118.054892,34.003378
632,4067,-118.176913,34.131061
646,4069,-118.197132,34.065013
652,4081,-118.009182,34.038184
654,4065,-118.421778,34.325225
663,4049,-118.21734,34.11759
667,4058,-118.150435,34.107237
669,5936,-118.17094,33.77721
679,4054,-118.21918,33.9892
681,4045,-118.197572,34.0648
683,4047,-118.196692,34.066124
689,8488,-118.592328,34.193649
695,2946,-118.472067,33.992512
699,6900,-118.187589,33.936801
703,587,-118.45673,34.067912
